"Organization","Board","List","Card #","Title","Link","Description","Total Checklist items","Completed Checklist items","Checklists","NumberOfComments","Comments","Attachments","Votes","Spent","Estimate","Points Estimate","Points Consumed","Created","CreatedBy","LastActivity","Due","Done","DoneBy","DoneTime","Members","Labels","Due Complete","Start",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","111","As a user, I want to add color-coded labels to tasks so that I can categorize them easily.","https://trello.com/c/VOqy06Un","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:21 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:21 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","113","As a user, I want to add checklistssubtasks to tasks so that I can break them into smaller steps.","https://trello.com/c/7aVguFKk","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:22 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:22 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","109","As a user, I want to track task activity logs so that I can see who made changes.","https://trello.com/c/3KI19RUg","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:20 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/25/2025 6:59:09 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","116","As a user, I want my data to be stored persistently so that I can access my board from any device.","https://trello.com/c/iL2v4Lvj","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:24 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:24 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","117","As a user, I want to use dark mode so that I can work comfortably in low-light environments.","https://trello.com/c/iXSMPhKM","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:24 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:24 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","118","As a user, I want a mobile-friendly design so that I can manage tasks from any device.","https://trello.com/c/OopbY04M","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:25 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:25 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","119","As a user, I want to receive notifications for task updates so that I stay informed.","https://trello.com/c/VjWzBQAn","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:25 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:25 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","120","As a user, I want to export my task list as a CSV so that I can analyze it externally.","https://trello.com/c/NvE7CE6I","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:26 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:26 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","121","As a user, I want to duplicate tasks so that I can easily create similar items.","https://trello.com/c/frS2h4Wx","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:26 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:26 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","122","As a user, I want to archive completed tasks so that my board remains uncluttered.","https://trello.com/c/guU40RKh","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:27 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:27 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","123","As a user, I want to customize the board layout so that it suits my workflow.","https://trello.com/c/f7KUVa5C","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:27 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:27 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Product Backlog","124","As a user, I want to integrate with Google Calendar so that I can sync my due dates.","https://trello.com/c/yVn6UD8A","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:23:28 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/1/2025 11:23:28 PM","","","","","","","false","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","145","As a user, I want to filter and search tasks so that I can quickly find specific items.","https://trello.com/c/FtFEJQSD","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UcFqwkAQ/Zc5x7KN0drcgrEgFAtJ2kOLhEl20i5usrK7EUT8907UHlQo7GH2vTdv38weYEfWKdNBDLsIApDo8eMMLSXEoRABKJdoneIe4ga1owCcR+u5IxThZCSiUTgtxFMsBJ8HIcQn+1AnbwSzawE/RPm+q4v9lliZF0lWlMkqLdP3xUD39Kq6zYVlrDwprpm/WCd+sUqZNU3jyKc9/R9va5WxynMvz1f3zps25ckhPkCNVmZGDwbzJBs8JTXYa58b69+s5OWw7BhAS23Fl1u4Rs3D4z2hlfP3IFak7z1OiV4UaTnnOO6c7WvNzA/Vm6Wn9gbvjFeNqtHzx7kzpHlLl5Jn/VYd6qFp+FaYzkT1PBmHWI0fuZAhRRRNmwqOx1/2+qi3)","0","0","","0","","","0","0","0","0","0","4/25/2025 6:59:14 PM","","4/27/2025 10:26:11 PM","4/26/2025 12:00:00 PM","4/27/2025 10:01:57 PM","i210841 Muhammed Shahzaib Irfan Ahmed","P2DT3H2M43S","i210841 Muhammed Shahzaib Irfan Ahmed","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","139","As a user, I want to mark tasks with priority levels so that I can focus on the most critical ones.","https://trello.com/c/nFjjPrmx","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UctqwzAQ/Jc9O2Wdd30zcQqBkkLi9tASgmytWhHZCpIcCMH/3nWSHpJAQQdpZnY0u3uCAzmvbQ0JHIYQgRRBfFyghYQkRoxA+9SYTBwhUcJ4isAH4QJX9LE/6uGw15/kOEkQ+Twh4if7UC3vBNNbAX9E62Nd5sc9sXKdp6t8my6zbfY+7+iGXnW9u7KMbc+KW+Yv1pmfLzNmrVKeQtbQ//H2TlunA9dyf2Xjg60y7hySE5TCyZU1ncEsXXWekpRoTFhbF96c5OGwrI2goqrgxz1cCsPNi0fCaB8eQVGQefQ4J3rRZOSM4/hLtq8NMz9U7haBqju8tkErXYrAi/MXyPCUrlfu9VvXwnRF3VphPMViOhhIkhPE+FmN40EhCzWCtv0F+omouA==)","0","0","","0","","","0","0","0","0","0","4/25/2025 5:42:37 PM","","4/27/2025 10:26:12 PM","4/27/2025 12:00:00 PM","4/27/2025 6:51:37 PM","i210841 Muhammed Shahzaib Irfan Ahmed","P2DT1H9M0S","Abdullah Tahir","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","143","As a user, I want to add color-coded labels to tasks so that I can categorize them easily.","https://trello.com/c/LzUdswUD","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UVFrwjAQ/i/3XMdZu9n1rVgHwnCg3R42RNLmsgXTRpJUEPG/76ruQYVBHpLv++7Ld3cH2JHz2raQwS6BCKQI4uMMzSRkI8QItM+NKcQeMiWMpwh8EC5wRYzx4wCTQTwucZwh8nlAxE/2oVbeCNJrAX9Ey31bl/stsXJZ5otync+LdfE+7emOXnW7ubCMrU+Ka+Yv1omfzgtmrVKeQtHR//G2TlunA9dyf3Xng20K7hyyA9TCyYU1vcEkX/SekpToTFhaF96c5OGw7BhBQ03Fj1u4FoabF/eE0T7cg6Iic+9xSvSiycgJx/HnbF8rZn6o3swCNTd4a4NWuhaBF+fPkOEpXa7c67duhemL+rXCU4pVOqrS8TBRSsbJMK3i5woRjsdf/C+oWg==)","0","0","","0","","","0","0","0","0","0","4/25/2025 5:44:40 PM","","4/27/2025 10:26:22 PM","4/27/2025 12:00:00 PM","4/27/2025 6:51:33 PM","i210841 Muhammed Shahzaib Irfan Ahmed","P2DT1H6M53S","Abdullah Tahir","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","144","As a user, I want to add checklistssubtasks to tasks so that I can break them into smaller steps.","https://trello.com/c/hq6gCGwi","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UUFqwzAQ/MuenSISOzG+mTiFQEnBdntoKUGR1q2IbAVJDpjgv3cdp4c4UNBBmpkdze5e4IzWKdNAAucQApDc8/cR2kpIFowFoFyqdcY7SCquHQbgPLeeKuZsHs1YOJtHJVsljNF5Yox9kA82ciKI7wX0ERZdI8ruhKQsyjQv9+ku22dvm4Fu8UU1xxtL2P6quGf+Yl35zS4j1lSVQ5+1+H+8k1XGKk+11J9onTd1Rp1DcgHBrcyNHgzWaT54Sqx4q31hrH+1koZDsj6AGusDPaaw4Jqa54+EVs4/gvyA+tHjmuhZoZZriuPGbJ9fxPygOG491hO8MV5VSnBPi3MjpGlKtyv1+q0aroeiYa2wjNkhXohIsjCsMIpDsYoXSxFB3/8C86eoYw==)","0","0","","0","","","0","0","0","0","0","4/25/2025 5:44:53 PM","","4/27/2025 10:26:14 PM","4/25/2025 12:00:00 PM","4/27/2025 5:12:49 AM","i210841 Muhammed Shahzaib Irfan Ahmed","P1DT11H27M56S","i210841 Muhammed Shahzaib Irfan Ahmed","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","138","As a user, I want my board to update in real-time so that my team is always up-to-date.","https://trello.com/c/DD65nkKo","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UcFqAjEQ/Zc5ryVddKt7W1wLQrGg2x5ayjImkzaY3UiSFUT8986qPahQyCF5783Lm5kD7MgH41rIYTeEBBRGfD9DcwV5KkQCJhTWlriHXKMNlECI6CNXpCIdDcRwkGaVeMqF4PMghPhgH2rVjWB8LeCPaLVvZbXfEitXVbGs6mJR1uXbrKc7ejHt5sIyVp8U18xfrBM/W5TMOq0DxbKj/+NtvXHeRK7l/mQXomtK7hzyA0j0aulsbzAtlr2nIo2djSvn46tXPByWHRNoqFnz4xaWaLl5vCesCfEexDXZe49TomdDVk05Tjhn+/xi5ofkZh6pucFbF402EiMvLpwhy1O6XLnXb9Oi7Yv6tUI2FutxqmVGmD1KrTXhZKQmCo7HXwPLqYc=)","0","0","","0","","","0","0","0","0","0","4/25/2025 5:41:32 PM","","4/27/2025 10:26:17 PM","4/26/2025 12:00:00 PM","4/25/2025 9:13:44 PM","i210841 Muhammed Shahzaib Irfan Ahmed","P0DT3H32M12S","Abdullah Tahir","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","136","As a user, I want to invite members to a board so that we can collaborate on projects.","https://trello.com/c/5xXfMbA8","","0","0","","0","","","0","0","0","0","0","3/20/2025 9:08:57 PM","","3/22/2025 11:20:52 PM","3/22/2025 9:11:00 PM","3/22/2025 11:20:52 PM","i210841 Muhammed Shahzaib Irfan Ahmed","P2DT2H11M55S","i210841 Muhammed Shahzaib Irfan Ahmed","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","137","As a user, I want to assign tasks to specific team members so that responsibilities are clear.","https://trello.com/c/2rBjBrpE","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UdFqAjEQ/Jd9PktyWrX3dngWhGJBr31oKbIme20wd5EkJ4j4791T+6BC35KZ2cnM5gA78sG4BjLYDSABjRHfz9BMQyaFSMCE3NoC95BVaAMlECL6yBOpSB97ot9LZSmHmZSZEA9CiA/2oUbfCEbXAn6IlvtGlfstsXJZ5otylc+LVfE27eiWXkyzubCMrU6Ka+Yv1omfzgtmXVUFikVL/8fbeuO8iTzL/VQboqsLbg7ZARR6vXC2M5jki85TU4WtjUvn46vXvByWHROoqV7z5RZWaLk83hPWhHgP4prsvccp0bMhqyccJ5yzfX4x80NqM4tU3+CNi6YyCiN/XDhDlrd0OXLXb9Og7Ya6b4XhSKu+xkEl1UCOn6RQqRbjdAjH4y/n+Kh0)","0","0","","0","","","0","0","0","0","0","3/20/2025 9:09:08 PM","","4/27/2025 10:24:22 PM","3/21/2025 9:11:00 PM","3/22/2025 11:20:51 PM","i210841 Muhammed Shahzaib Irfan Ahmed","P2DT2H11M43S","i210841 Muhammed Shahzaib Irfan Ahmed","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","135","As a user, I want to create an account and log in securely so that my data remains private.","https://trello.com/c/TKBGjJaz","","0","0","","0","","","0","0","0","0","0","3/20/2025 9:07:06 PM","","3/22/2025 9:49:03 AM","3/22/2025 9:11:00 PM","3/22/2025 9:49:02 AM","i210841 Muhammed Shahzaib Irfan Ahmed","P1DT12H41M56S","i210841 Muhammed Shahzaib Irfan Ahmed","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","134","As a user, I want to add comments to tasks so that I can communicate with my team.","https://trello.com/c/0MbKabEc","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UdFqwjAU/Zf7XEdSZ3V9K9aBMBzUbg8bo6TJ7RZMG0lSQcR/3626BxX2lpxz7sk5NwfYofPadpDC7hEiUCKI9zO0VJByxiLQPjMmF3tIG2E8RuCDcIEmYhZPRmw8innJk5TzlLEHxtgH+WCnbgTTawE9hOt9J8v9Fkm5LrOirLJVXuVvi4Hu8UV3mwtLWHVSXDN/sU78YpUTa5vGY8h7/D/e1mnrdKBZ6id7H2ybU3NIDyCFU4U1g8E8KwZPhY3oTVhbF16douWQ7BhBi21Nl1tYCkPlxT1htA/3oKjR3HucEj1rNGpOcfw52+cXMT8oN8uA7Q3e2aAbLUWgj/NnyNCWLkfq+q07YYah4VshmSo5VuxJYCwn8Ywn9ayuY8nhePwF6aOo0w==)","0","0","","0","","","0","0","0","0","0","3/20/2025 9:06:33 PM","","4/27/2025 10:24:23 PM","3/21/2025 9:11:00 PM","3/22/2025 9:48:40 AM","i210841 Muhammed Shahzaib Irfan Ahmed","P1DT12H42M7S","Abdullah Tahir","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","133","As a user, I want to set due dates for tasks so that I can track deadlines.","https://trello.com/c/88VBoYk1","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UdFqwjAU/Zf7XEdaXev6VqwDYTjQbg8bQ67J7RZMG0lSQcR/3626BxX2lpxz7sk5NwfYkfPatpDDbgQRKAz4foZmCvJEiAi0L4wpcQ95jcZTBD6gCzyRiORxIIaDJKniNI/jXIgHIcQH+1CrbgTZtYAfouW+ldV+S6xcVsWiWhXzclW+TXu6oxfdbi4sY6uT4pr5i3Xip/OSWVvXnkLZ0f/xtk5bpwPPcj/Z+WCbkptDfgCJTi2s6Q0mxaL3VFRjZ8LSuvDqFC+HZccIGmrWfLmFJRouj/eE0T7cg7gmc+9xSvSsyagJx/HnbJ9fzPyQ3MwCNTd4a4OutcTAH+fPkOEtXY7c9Vu3aPqh/lshzZQcynosCdcjzMYpPslMigyOx1/5lqlJ)","0","0","","0","","","0","0","0","0","0","3/20/2025 9:06:16 PM","","4/27/2025 10:08:57 PM","3/22/2025 9:11:00 PM","3/22/2025 9:48:36 AM","i210841 Muhammed Shahzaib Irfan Ahmed","P1DT12H42M20S","Abdullah Tahir","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","132","As a user, I want the board state to be saved automatically so that I don’t lose progress.","https://trello.com/c/n3T3BgHT","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UdFqwjAU/Zf7XEfabVX7VqwDYTio3R42RK7J7RZMG0lSQcR/3626BxX2lpxz7sk5NwfYkfPatpDB7gkiUBjw4wzNFGSxEBFonxtT4B6yGo2nCHxAF3giEcnzQDwO4lEl0iwRmRAPQohP9qFW3QiG1wJ+iBb7Vlb7LbFyUeVltcrnxap4n/Z0R6+63VxYxlYnxTXzF+vET+cFs7auPYWio//jbZ22Tgee5X6y88E2BTeH7AASnSqt6Q0medl7KqqxM2FhXXhzipfDsmMEDTVrvtzCEg2Xx3vCaB/uQVyTufc4JXrRZNSE4/hztq8lMz8kN7NAzQ3e2qBrLTHwx/kzZHhLlyN3/dYtmn6o/1ZIhypNVSJjiWqYipEajVNV4xiOx18Ag6j8)","0","0","","0","","","0","0","0","0","0","3/16/2025 11:18:20 AM","","4/27/2025 10:24:21 PM","3/18/2025 11:20:00 AM","3/20/2025 9:03:52 PM","i210841 Muhammed Shahzaib Irfan Ahmed","P4DT9H45M32S","Abdullah Tahir","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","129","As a user, I want to add descriptions and notes to tasks so that I can provide additional details.","https://trello.com/c/0O3KSXP5","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:25:27 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/20/2025 9:03:54 PM","3/19/2025 11:20:00 AM","3/20/2025 9:03:50 PM","i210841 Muhammed Shahzaib Irfan Ahmed","P18DT21H38M23S","Abdullah Tahir","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","125","As a user, I want to create task lists so that I can organize my work efficiently.","https://trello.com/c/OHP0hLvi","","0","0","","0","","","0","0","0","0","0","3/1/2025 11:25:25 PM","i210841 Muhammed Shahzaib Irfan Ahmed","3/18/2025 9:43:27 AM","3/18/2025 11:20:00 AM","3/18/2025 9:43:17 AM","i210841 Muhammed Shahzaib Irfan Ahmed","P16DT10H17M52S","i210841 Muhammed Shahzaib Irfan Ahmed","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","126","As a user, I want to add, edit, and delete tasks so that I can keep my board updated.","https://trello.com/c/MNNmTz1L","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UdFqwjAU/Zf7XEfa2lb7VqwDYTio3R42hsTkdgumjSSpIOK/71bdgwp7S8459+ScmyPs0TplOshhP4YAJPf8/QItJOQhYwEoV2hd8gPkDdcOA3CeW08TEYuSEYtHYVazNI9YztgTY+yDfLCTd4LsVkAP4erQifqwQ1Ku6qKq18WyXJdv84Hu8UV12ytL2PqsuGX+Yp35+bIk1jSNQ1/2+H+8nVXGKk+z1E/0zpu2pOaQH0FwKyujB4NZUQ2eEhvea78y1r9aScsh2SmAFtsNXe5hwTWV54+EVs4/gnyD+tHjnOhZoZYziuMu2T6/iPlBsV14bO/wznjVKME9fZy7QJq2dD1S12/VcT0MDd8KaSbiJAzTaRRPxjxlk2gaJ+MkhNPpF+cnp2w=)","0","0","","0","","","0","0","0","0","0","3/1/2025 11:25:26 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/27/2025 10:24:16 PM","3/17/2025 11:20:00 AM","3/18/2025 9:43:18 AM","i210841 Muhammed Shahzaib Irfan Ahmed","P16DT10H17M52S","i210841 Muhammed Shahzaib Irfan Ahmed","","true","",
"Trello Workspace","KanbanEase - Iteration 0","Done ✅","127","As a user, I want to drag and drop tasks between lists so that I can quickly update their status.","https://trello.com/c/dyKEvsE8","‌---[Planyway Data - do not delete this link](https://planyway.com?cardData=eJx9UctuwjAQ/Jc9h8q8EsgtIlRCqqgEaQ+tKrTYm9bCiZHtICHEv3dD6AGQerNnZscz6xMcyHlta0jhMIIIFAZ876CFgnQgRATaZ8bkeIS0ROMpAh/QBZ4YiMG4J4a9/qQQMWtTIZ6EEB/sQ7W6EyS3An6I1sdaFsc9sXJdZKtiky3zTf42b+mGXnS9u7KMbS6KW+Yv1oWfL3NmbVl6CnlD/8fbO22dDjzL/WTjg61ybg7pCSQ6tbKmNZhlq9ZTUYmNCWvrwqtTvByWnSOoqNry5R6WaLg8PhJG+/AI4pbMo8cl0bMmo2Ycx3fZPr+Y+SG5WwSq7vDaBl1qiYE/zneQ4S1dj9z1W9do2qH2WyFO5HDc78cJjkgpMR7hZIrJdArn8y/5+qho)","0","0","","0","","","0","0","0","0","0","3/1/2025 11:25:26 PM","i210841 Muhammed Shahzaib Irfan Ahmed","4/27/2025 10:24:19 PM","3/18/2025 11:20:00 AM","3/18/2025 9:43:20 AM","i210841 Muhammed Shahzaib Irfan Ahmed","P16DT10H17M53S","i210841 Muhammed Shahzaib Irfan Ahmed","","true","",
